"X","Y","FileName"
-64.066403,-11.887938,"CAUT2320S_9.shp"
-67.97697,-10.255658,"DAAC1819S_1.shp"
-67.645672,-9.755511,"DAAC1819S_2.shp"
-67.572886,-9.929032,"DAAC1819S_4.shp"
-53.831705,-11.772072,"DAAC1821S_1.shp"
-54.947266,-3.050156,"DAAC1821S_24.shp"
-54.984123,-3.118426,"DAAC1821S_25.shp"
-54.729493,-2.951454,"DAAC1821S_28.shp"
-54.6999,-3.11557,"DAAC1821S_28.shp"
-54.195239,-11.860546,"DAAC1821S_3.shp"
-55.013714,-12.501466,"DAAC1821S_4.shp"
-54.998313,-3.364884,"DAAC1821S_5.shp"
-54.962395,-3.019481,"DAAC1821S_7.shp"
-54.952648,-3.133978,"DAAC1821S_9.shp"
-59.828523,-2.742502,"DAAC2121S_1.shp"
-54.935204,-3.103829,"DAAC2121S_2.shp"
-53.808752,-11.899103,"DAAC2121S_3.shp"
